      n	repetitions	time
     0	15084034	0.000000
    10	4632042	0.000000
    20	1638035	0.000001
    30	807410	0.000001
    40	417116	0.000002
    50	287387	0.000003
    60	206055	0.000005
    70	153334	0.000007
    80	117581	0.000009
    90	94809	0.000011
   100	76203	0.000013
   200	20604	0.000049
   300	9418	0.000106
   400	5360	0.000187
   500	3469	0.000288
   600	2422	0.000413
   700	1784	0.000561
   800	1372	0.000729
   900	1089	0.000918
  1000	881	0.001135
  1100	732	0.001366
  1200	615	0.001626
  1300	525	0.001907
  1400	453	0.002208
  1500	395	0.002534
  1600	348	0.002876
  1700	308	0.003250
  1800	274	0.003653
  1900	247	0.004049
  2000	223	0.004489
