      n	repetitions	역정렬	순정렬	랜덤
     0	15223918	0.000000	0.000000	0.000000
    10	1305339	0.000000	0.000000	0.000001
    20	615498	0.000001	0.000000	0.000002
    30	381390	0.000001	0.000000	0.000003
    40	268165	0.000003	0.000000	0.000004
    50	200163	0.000004	0.000000	0.000005
    60	156578	0.000006	0.000000	0.000006
    70	126846	0.000007	0.000000	0.000008
    80	104841	0.000010	0.000000	0.000010
    90	88243	0.000012	0.000001	0.000011
   100	75299	0.000015	0.000001	0.000013
   200	25066	0.000056	0.000001	0.000040
   300	12538	0.000124	0.000002	0.000080
   400	7218	0.000219	0.000002	0.000139
   500	4991	0.000340	0.000003	0.000200
   600	3575	0.000490	0.000003	0.000280
   700	2678	0.000668	0.000004	0.000373
   800	2087	0.000867	0.000004	0.000479
   900	1663	0.001094	0.000005	0.000601
  1000	1358	0.001350	0.000006	0.000736
  1100	1135	0.001636	0.000006	0.000881
  1200	959	0.001942	0.000007	0.001043
  1300	823	0.002277	0.000007	0.001215
  1400	713	0.002641	0.000008	0.001403
  1500	625	0.003033	0.000008	0.001600
  1600	551	0.003448	0.000009	0.001815
  1700	489	0.003899	0.000009	0.002045
  1800	438	0.004361	0.000010	0.002285
  1900	394	0.004864	0.000011	0.002541
  2000	356	0.005376	0.000011	0.002809
